assists,back_passes,blocked_passes,blocked_shots,clearances,crosses,diagonal_passes,dribbles,fouls,foulsconceded,goals,id,interceptions,key_passes,lateral_passes,long_passes,minutesPlayed,name,offsides,passes,position,possession_time,red_cards,saves,season,short_passes,shots,shots_on_target,succ_long_passes,succ_passes,succ_short_passes,tackles,through_passes,touches,yellow_cards
0,6,2,0,2,3,35,0,0,1,0,1189,7,0,5,12,90,姜至鹏,0,62,中场,281,0,0,2014,50,0,0,5,43,38,1,16,29,0
0,7,1,1,1,1,14,0,1,1,0,1390,2,1,4,8,90,冯刚,0,30,中场,110,0,0,2014,22,1,0,3,22,19,2,5,17,0
0,5,0,0,1,1,11,0,3,2,0,1391,0,0,0,5,90,范晓冬,0,25,中场,167,0,0,2014,20,0,0,2,18,16,2,9,21,0
0,1,2,0,7,0,11,0,0,0,0,1393,3,0,1,4,90,赵宇豪,0,21,中场,81,0,0,2014,17,1,1,0,10,10,3,8,6,1
0,2,4,0,4,3,15,0,1,4,0,1193,4,0,2,11,90,唐淼,0,30,中场,224,0,0,2014,19,0,0,3,14,11,8,11,16,0
0,7,1,0,0,2,7,0,2,2,0,1194,0,1,8,3,78,常飞亚,0,24,中场,131,0,0,2014,21,1,0,1,13,12,0,2,16,0
0,8,0,0,0,0,14,0,2,1,1,1612,3,0,5,4,90,拉尔森,0,35,中场,125,0,0,2014,31,3,3,2,20,18,1,8,26,0
1,9,0,0,1,1,8,0,0,1,0,1162,0,0,2,5,38,孙铂,0,20,中场,82,0,0,2014,15,0,0,1,13,12,0,1,15,0
0,6,0,0,0,1,21,0,0,2,1,1116,3,0,15,2,90,马辛斯基,0,45,中场,147,0,0,2014,43,2,1,2,34,32,1,3,41,1
0,13,1,0,1,2,33,0,4,3,0,1497,1,1,10,6,90,尹鸿博,0,61,中场,173,0,0,2014,55,2,0,5,49,44,3,5,55,0
0,3,0,0,6,0,15,0,2,0,0,1520,0,0,7,2,90,王大龙,0,31,后卫,118,0,0,2014,29,0,0,1,28,27,1,6,18,1
0,9,1,0,3,1,19,0,0,2,0,1521,3,0,4,5,90,许东,0,45,后卫,239,0,0,2014,40,0,0,2,33,31,2,13,38,1
0,19,0,0,1,1,24,0,2,3,0,1414,1,0,3,1,90,吴曦,0,54,后卫,143,0,0,2014,53,1,0,1,45,44,1,8,51,0
0,5,0,0,7,0,11,0,0,0,0,1522,3,0,6,2,90,李旭东,0,27,后卫,77,0,0,2014,25,0,0,1,24,23,2,5,15,0
0,14,1,0,6,1,18,0,1,0,0,1523,1,0,0,12,90,李健,0,47,后卫,259,0,0,2014,35,0,0,3,30,27,3,15,42,0
0,9,1,0,5,0,21,0,0,0,0,1417,4,0,9,14,90,尹信荣,0,50,后卫,159,0,0,2014,36,0,0,8,41,33,2,11,30,1
0,11,0,0,0,0,28,0,2,1,0,1420,5,0,11,9,90,李昂,0,62,中场,185,0,0,2014,53,1,0,5,48,43,3,12,40,0
